id_equipo,nombre,i1,i2,i3,final
1,Three Laws,,,
2,Trackino,,,
3,GTF Robot,,,
4,Industrial Fenner,,,
5,master machine,,,
6,Transformers,,,
7,CRU,,,
8,Fabfast,,,
9,JÃ¤guerbot,,,
10,Dubot runner,,,
11,Alto Delay,,,
12,Scuderia Robotic,,,
13,ICARO 3,,,
14,Titanfall.A2,,,
15,GBD,,,
16,The Kingdom,,,
17,Microbots,,,
18,SLIPKNOT,,,
19,Icaro 1,,,
20,RoboHunters,,,
21,Los super poxicos,,,
22,Mr Rapidin,,,
23,G4,,,
24,TYR ROBOTICS,,,
25,TIR,,,
26,Team Tesla,,,
27,CON-CIENCIA-COL,,,
28,CON-CIENCIA-COL2,,,
29,Lightracers,,,
